,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK▼,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
47,Yeltsin Tejeda,MF,cr Costa Rica,30-273,1.cr Club Sport Herediano,1992,3,3,269,3.0,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.33,0.33,0.67,0.33,0.67,0.13,0.13,0.03,0.17,0.14,0.02,0.17,0.14,0.17,Matches,74319b04
48,Mitchell Duke,FW,au Australia,31-331,2.jp Fagi Okayama,1991,4,4,270,3.0,0.33,0.00,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.33,0.33,0.33,0.13,0.13,0.00,0.13,0.12,0.01,0.13,0.12,0.13,Matches,293f5bf9
49,Andreas Christensen,DF,dk Denmark,26-249,1.es Barcelona,1996,3,3,270,3.0,0.33,0.00,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.33,0.33,0.33,0.13,0.13,0.00,0.13,0.12,0.00,0.12,0.12,0.12,Matches,1cb49278
50,Luis Chávez,MF,mx Mexico,26-334,1.mx Pachuca,1996,3,3,270,3.0,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,0.10,0.10,0.17,0.23,0.10,0.15,0.25,0.10,0.25,Matches,e50949ea
51,Alphonso Davies,MFDF,ca Canada,22-043,1.de Bayern Munich,2000,3,3,270,3.0,0.33,0.00,0.33,0.00,0.33,0.33,0.00,0.33,0.00,0.33,0.33,0.33,0.37,0.10,0.17,0.27,0.36,0.17,0.53,0.09,0.27,Matches,d781d855
52,Jordan Henderson,MF,eng England,32-181,1.eng Liverpool,1990,4,3,271,3.0,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,0.07,0.07,0.10,0.17,0.05,0.11,0.16,0.05,0.16,Matches,935e6b8f
53,Neymar,MF,br Brazil,30-313,1.fr Paris S-G,1992,3,3,279,3.1,0.65,0.00,0.32,0.32,0.32,0.00,0.00,0.65,0.00,0.65,0.32,0.32,0.87,0.61,0.26,0.87,0.98,0.29,1.27,0.70,0.98,Matches,69384e5d
54,Lionel Messi,FW,ar Argentina,35-174,1.fr Paris S-G,1987,6,6,570,6.3,0.79,0.48,0.32,0.48,0.63,0.16,0.00,0.79,0.47,1.26,0.32,0.79,0.75,0.25,0.35,0.60,0.79,0.37,1.16,0.26,0.63,Matches,d70ce98e
55,Raphaël Guerreiro,DF,pt Portugal,28-358,1.de Dortmund,1993,4,3,279,3.1,0.32,0.65,0.32,0.00,0.00,0.00,0.00,0.32,0.65,0.97,0.32,0.97,0.13,0.13,0.19,0.32,0.12,0.19,0.31,0.12,0.31,Matches,048a1cbc
56,Gavi,MF,es Spain,18-132,1.es Barcelona,2004,4,4,284,3.2,0.31,0.00,0.31,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32,0.03,0.03,0.03,0.06,0.04,0.03,0.07,0.04,0.07,Matches,19cae58d
