,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK▼,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
182,Djibril Sow,MF,ch Switzerland,25-312,1.de Eint Frankfurt,1997,4,4,264,2.9,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.34,0.00,0.34,0.07,0.07,0.07,0.10,0.06,0.06,0.12,0.06,0.12,Matches,4c6facae
183,Héctor Moreno,DF,mx Mexico,34-332,1.mx Monterrey,1988,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.06,0.01,0.07,0.06,0.07,Matches,5d311e8d
184,César Montes,DF,mx Mexico,25-294,1.mx Monterrey,1997,3,3,270,3.0,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,0.07,0.07,0.17,0.23,0.06,0.17,0.23,0.06,0.23,Matches,28e957d7
185,Nikola Milenković,DF,rs Serbia,25-064,1.it Fiorentina,1997,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.06,0.00,0.06,0.06,0.06,Matches,bee704fc
186,José María Giménez,DF,uy Uruguay,27-329,1.es Atlético Madrid,1995,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.06,0.00,0.06,0.06,0.06,Matches,f0da930c
187,Hwang In-beom,MF,kr Korea Republic,26-086,1.gr Olympiacos,1996,4,4,334,3.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.03,0.08,0.06,0.02,0.08,0.06,0.08,Matches,92fa5d28
188,Ehsan Hajsafi,MFDF,ir IR Iran,32-293,1.gr AEK Athens,1990,3,3,237,2.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.08,0.15,0.06,0.08,0.15,0.06,0.15,Matches,b060e3b8
189,Kamil Glik,DF,pl Poland,34-315,2.it Benevento,1988,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.06,0.00,0.06,0.06,0.06,Matches,c6056d58
190,Christian Eriksen,MF,dk Denmark,30-304,1.eng Manchester Utd,1992,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.13,0.20,0.06,0.14,0.20,0.06,0.20,Matches,980522ec
191,Wataru Endo,MF,jp Japan,29-309,1.de Stuttgart,1993,4,3,304,3.4,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.15,0.18,0.06,0.15,0.21,0.06,0.21,Matches,c149016b
192,Luka Modrić,MF,hr Croatia,37-097,1.es Real Madrid,1985,6,6,563,6.3,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.11,0.17,0.06,0.13,0.18,0.06,0.18,Matches,6025fab1
193,Harry Wilson,MFFW,wls Wales,25-268,1.eng Fulham,1997,3,2,160,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.28,0.33,0.05,0.28,0.33,0.05,0.33,Matches,c6dc9ecd
194,Vitinha,MF,pt Portugal,22-305,1.fr Paris S-G,2000,3,1,120,1.3,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,0.05,0.03,0.08,0.05,0.08,Matches,3b029691
195,Matías Vecino,MF,uy Uruguay,31-113,1.it Lazio,1991,3,2,195,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.05,0.00,0.05,0.05,0.05,Matches,44ac04e9
196,Gonzalo Plata,MFFW,ec Ecuador,22-044,1.es Valladolid,2000,3,3,269,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.10,0.05,0.06,0.11,0.05,0.11,Matches,54bcdeb0
197,Otávio,MF,pt Portugal,27-309,1.pt Porto,1995,3,3,196,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.18,0.23,0.05,0.17,0.23,0.05,0.23,Matches,28b1f3ce
198,Kaoru Mitoma,MF,jp Japan,25-209,1.eng Brighton,1997,4,0,165,1.8,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.55,0.00,0.55,0.06,0.06,0.67,0.72,0.05,0.83,0.88,0.05,0.88,Matches,74618572
199,Riley McGree,FWMF,au Australia,24-043,2.eng Middlesbrough,1998,4,4,265,2.9,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.34,0.00,0.34,0.03,0.03,0.21,0.28,0.05,0.22,0.27,0.05,0.27,Matches,59d61727
200,Aïssa Laïdouni,MF,tn Tunisia,26-002,1.hu Ferencváros,1996,3,3,243,2.7,0.00,0.37,0.00,0.00,0.00,0.37,0.00,0.00,0.37,0.37,0.00,0.37,0.04,0.04,0.15,0.22,0.05,0.16,0.21,0.05,0.21,Matches,22798128
201,Leander Dendoncker,DFMF,be Belgium,27-244,1.eng Aston Villa,1995,2,2,161,1.8,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.22,0.22,0.05,0.20,0.25,0.05,0.25,Matches,5a7301ae
202,Sebastián Coates,DF,uy Uruguay,32-069,1.pt Sporting CP,1990,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.05,0.00,0.05,0.05,0.05,Matches,1fbbfbde
203,Hidemasa Morita,MF,jp Japan,27-219,1.pt Sporting CP,1995,3,3,285,3.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.03,0.06,0.05,0.03,0.08,0.05,0.08,Matches,a650c75b
204,Éder Militão,DF,br Brazil,24-331,1.es Real Madrid,1998,4,4,347,3.9,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.05,0.01,0.05,0.05,0.05,Matches,2784f898
205,Jules Koundé,DF,fr France,24-033,1.es Barcelona,1998,5,4,361,4.0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.03,0.07,0.05,0.02,0.07,0.05,0.07,Matches,4d1666ff
206,Junya Ito,MFFW,jp Japan,29-281,1.fr Reims,1993,4,3,324,3.6,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.28,0.06,0.06,0.06,0.11,0.05,0.07,0.12,0.05,0.12,Matches,dbd3a428
207,Ko Itakura,DF,jp Japan,25-322,1.de M'Gladbach,1997,3,3,270,3.0,0.00,0.33,0.00,0.00,0.00,0.67,0.00,0.00,0.33,0.33,0.00,0.33,0.07,0.07,0.03,0.07,0.05,0.03,0.08,0.05,0.08,Matches,97d545ae
208,Selim Amallah,MF,ma Morocco,26-030,1.be Standard Liège,1996,6,4,384,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.02,0.07,0.05,0.02,0.07,0.05,0.07,Matches,00eba9c9
209,Azzedine Ounahi,MF,ma Morocco,22-240,1.fr Angers,2000,6,6,533,5.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.08,0.14,0.05,0.08,0.14,0.05,0.14,Matches,83299cc0
210,Alejandro Balde,DF,es Spain,19-058,1.es Barcelona,2003,4,1,126,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,5ccc9672
211,Neco Williams,DF,wls Wales,21-246,1.eng Nott'ham Forest,2001,3,3,204,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.09,0.04,0.03,0.07,0.04,0.07,Matches,dd323728
212,Félix Torres Caicedo,DF,ec Ecuador,25-338,1.mx Santos,1997,3,3,270,3.0,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,0.03,0.03,0.13,0.20,0.04,0.15,0.19,0.04,0.19,Matches,c0a8860f
213,Niklas Süle,DF,de Germany,27-103,1.de Dortmund,1995,3,3,269,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.04,0.00,0.04,0.04,0.04,Matches,e33c06cf
214,Ahmad Nourollahi,MF,ir IR Iran,29-316,1.ae Al-Ahli Dubai FC,1993,3,3,223,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,0.04,0.00,0.04,0.04,0.04,Matches,2c5273b8
215,Lisandro Martínez,DF,ar Argentina,24-331,1.eng Manchester Utd,1998,5,2,303,3.4,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.21,0.24,0.04,0.21,0.25,0.04,0.25,Matches,bac46a10
216,Richie Laryea,DFMF,ca Canada,27-342,1.us Toronto FC,1995,3,2,160,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.28,0.33,0.04,0.30,0.34,0.04,0.34,Matches,276fdbe4
217,Teun Koopmeiners,MF,nl Netherlands,24-290,1.it Atalanta,1998,5,1,219,2.4,0.00,0.42,0.00,0.00,0.00,0.42,0.00,0.00,0.41,0.41,0.00,0.41,0.04,0.04,0.08,0.13,0.04,0.09,0.13,0.04,0.13,Matches,a26fb8aa
218,Martin Hongla,MF,cm Cameroon,24-274,1.it Hellas Verona,1998,2,2,121,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.08,0.08,0.04,0.05,0.09,0.04,0.09,Matches,b85bf253
219,Eden Hazard,MF,be Belgium,31-342,1.es Real Madrid,1991,3,2,124,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.04,0.01,0.05,0.04,0.05,Matches,a39bb753
220,Jesús Gallardo,DF,mx Mexico,28-122,1.mx Monterrey,1994,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.04,0.01,0.05,0.04,0.05,Matches,d0846b6c
221,Saeid Ezatolahi,MF,ir IR Iran,26-075,2.dk Vejle BK,1996,3,2,217,2.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.13,0.04,0.08,0.12,0.04,0.12,Matches,314d95ac
222,Nico Elvedi,DF,ch Switzerland,26-076,1.de M'Gladbach,1996,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.04,0.00,0.04,0.04,0.04,Matches,48035304
223,Sergio Busquets,MF,es Spain,34-152,1.es Barcelona,1988,4,4,363,4.0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.05,0.04,0.02,0.06,0.04,0.06,Matches,5ab0ea87
224,Firas Al-Buraikan,MFFW,sa Saudi Arabia,22-215,1.sa Al-Fateh,2000,3,3,268,3.0,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.34,0.00,0.34,0.03,0.03,0.03,0.07,0.04,0.02,0.06,0.04,0.06,Matches,ac717a23
225,Dylan Bronn,DF,tn Tunisia,27-179,1.it Salernitana,1995,2,2,162,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,0.04,0.00,0.04,0.04,0.04,Matches,edd81e2a
226,Virgil van Dijk,DF,nl Netherlands,31-160,1.eng Liverpool,1991,5,5,480,5.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.02,0.06,0.04,0.03,0.07,0.04,0.07,Matches,e06683ca
227,Thiago Silva,DF,br Brazil,38-084,1.eng Chelsea,1984,4,4,390,4.3,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,0.05,0.05,0.21,0.26,0.04,0.23,0.27,0.04,0.27,Matches,86e7deaf
228,Bernardo Silva,MF,pt Portugal,28-127,1.eng Manchester City,1994,5,4,356,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.13,0.04,0.09,0.14,0.04,0.14,Matches,3eb22ec9
229,Noussair Mazraoui,DF,ma Morocco,25-031,1.de Bayern Munich,1997,5,5,365,4.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.04,0.01,0.04,0.04,0.04,Matches,b74277a0
230,Marquinhos,DF,br Brazil,28-215,1.fr Paris S-G,1994,5,4,426,4.7,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.17,0.19,0.04,0.17,0.21,0.04,0.21,Matches,d5f2f82b
231,Sofiane Boufal,FW,ma Morocco,29-089,1.fr Angers,1993,6,6,412,4.6,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.07,0.11,0.04,0.07,0.11,0.04,0.11,Matches,b0c71810
232,Nayef Aguerd,DF,ma Morocco,26-260,1.eng West Ham,1996,4,4,353,3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.04,0.01,0.05,0.04,0.05,Matches,288e1e13
233,Dejan Lovren,DF,hr Croatia,33-163,1.ru Zenit,1989,6,6,600,6.7,0.00,0.15,0.00,0.00,0.00,0.15,0.00,0.00,0.15,0.15,0.00,0.15,0.04,0.04,0.00,0.04,0.04,0.01,0.05,0.04,0.05,Matches,1a2935f6
234,Andrija Živković,DF,rs Serbia,26-157,1.gr PAOK,1996,3,3,210,2.3,0.00,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.86,0.00,0.86,0.04,0.04,0.48,0.52,0.03,0.48,0.50,0.03,0.50,Matches,321f83a2
235,Dušan Tadić,MFFW,rs Serbia,34-025,1.nl Ajax,1988,3,3,257,2.9,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.70,0.00,0.70,0.03,0.03,0.24,0.28,0.03,0.25,0.28,0.03,0.28,Matches,2475dcc6
236,Morteza Pouraliganji,DF,ir IR Iran,30-240,1.ir Persepolis,1992,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.10,0.03,0.07,0.09,0.03,0.09,Matches,2c2066f4
237,Mathías Olivera,DF,uy Uruguay,25-045,1.it Napoli,1997,3,3,253,2.8,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.14,0.18,0.03,0.15,0.18,0.03,0.18,Matches,41c12f75
238,Rúben Neves,MF,pt Portugal,25-277,1.eng Wolves,1997,5,4,268,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.03,0.01,0.04,0.03,0.04,Matches,44bfb6c5
239,Kim Min-jae,DF,kr Korea Republic,26-030,1.it Napoli,1996,3,3,269,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.03,0.00,0.03,0.03,0.03,Matches,e0f8151c
240,Diego Godín,DF,uy Uruguay,36-302,1.ar Vélez Sarsf,1986,2,2,151,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,0.03,0.00,0.03,0.03,0.03,Matches,fc4f85b1
241,William Carvalho,MF,pt Portugal,30-252,1.es Betis,1992,4,2,215,2.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,0.03,0.00,0.03,0.03,0.03,Matches,dee86451
242,Aziz Behich,DF,au Australia,31-364,1.sct Dundee United,1990,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.03,0.00,0.03,0.03,0.03,Matches,b6867b96
243,Jordan Ayew,FW,gh Ghana,31-095,1.eng Crystal Palace,1991,3,2,136,1.5,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.66,0.00,0.66,0.07,0.07,0.33,0.33,0.03,0.32,0.36,0.03,0.36,Matches,da052c14
244,Joachim Andersen,DF,dk Denmark,26-198,1.eng Crystal Palace,1996,3,3,270,3.0,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,0.33,0.03,0.03,0.07,0.10,0.03,0.08,0.11,0.03,0.11,Matches,e34fc66d
245,Abdulelah Al-Amri,DF,sa Saudi Arabia,25-334,1.sa Al-Nassr,1997,3,2,182,2.0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.03,0.00,0.03,0.03,0.03,Matches,fd0affe3
246,Kieran Trippier,DF,eng England,32-087,1.eng Newcastle Utd,1990,3,2,206,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.02,0.07,0.09,0.02,0.09,Matches,21512407
247,Marcos Llorente,DF,es Spain,27-319,1.es Atlético Madrid,1995,1,1,120,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,02c15616
248,Edimilson Fernandes,FWDF,ch Switzerland,26-244,1.de Mainz 05,1996,3,1,145,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.25,0.02,0.21,0.23,0.02,0.23,Matches,3bb625ac
249,Pathé Ciss,MF,sn Senegal,28-274,1.es Rayo Vallecano,1994,3,2,146,1.6,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,9a0408b6
250,Borna Barišić,DF,hr Croatia,30-035,1.sct Rangers,1992,1,1,120,1.3,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.02,0.12,0.14,0.02,0.14,Matches,712dd708
251,Akram Afif,FW,qa Qatar,26-027,1.qa Al Sadd SC,1996,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.02,0.10,0.12,0.02,0.12,Matches,fd53d9e7
252,Walker Zimmerman,DF,us United States,29-210,1.us Nashville,1993,4,3,279,3.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.02,0.00,0.02,0.02,0.02,Matches,220fa883
253,Andre-Frank Zambo Anguissa,MF,cm Cameroon,27-029,1.it Napoli,1995,3,3,260,2.9,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.35,0.00,0.35,0.03,0.03,0.00,0.03,0.02,0.00,0.02,0.02,0.02,Matches,6bb2c084
254,Harry Souttar,DF,au Australia,24-054,2.eng Stoke City,1998,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.02,0.01,0.03,0.02,0.03,Matches,0a6cb1b1
255,Ellyes Skhiri,MF,tn Tunisia,27-219,1.de Köln,1995,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.07,0.02,0.05,0.07,0.02,0.07,Matches,c2211709
256,Luke Shaw,DF,eng England,27-156,1.eng Manchester Utd,1995,5,5,424,4.7,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21,0.02,0.02,0.17,0.19,0.02,0.17,0.19,0.02,0.19,Matches,9c94165b
257,Ró-Ró,DF,qa Qatar,32-131,1.qa Al Sadd SC,1990,3,3,262,2.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.02,0.00,0.02,0.02,0.02,Matches,8735fe66
258,Ángelo Preciado,DF,ec Ecuador,24-300,1.be Genk,1998,3,3,264,2.9,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.34,0.00,0.34,0.03,0.03,0.14,0.17,0.02,0.14,0.17,0.02,0.17,Matches,eadc8e4f
259,Yassine Meriah,DF,tn Tunisia,29-166,1.tn Espérance de Tunis,1993,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.02,0.01,0.04,0.02,0.04,Matches,3640af28
260,Nampalys Mendy,MF,sn Senegal,30-175,1.eng Leicester City,1992,4,3,272,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.02,0.01,0.03,0.02,0.03,Matches,1598599e
261,Saša Lukić,MF,rs Serbia,26-124,1.it Torino,1996,3,3,245,2.7,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,0.02,0.00,0.02,0.02,0.02,Matches,c6e8cf1f
262,Achraf Hakimi,DF,ma Morocco,24-041,1.fr Paris S-G,1998,6,6,541,6.0,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,0.02,0.02,0.05,0.08,0.02,0.06,0.08,0.02,0.08,Matches,e42d61c7
263,Joško Gvardiol,DF,hr Croatia,20-326,1.de RB Leipzig,2002,6,6,600,6.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.02,0.01,0.02,0.02,0.02,Matches,5ad50391
264,Pervis Estupiñán,DF,ec Ecuador,24-328,1.eng Brighton,1998,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.10,0.10,0.02,0.09,0.11,0.02,0.11,Matches,d38fdf53
265,Marcos Acuña,DF,ar Argentina,31-048,1.es Sevilla,1991,5,4,316,3.5,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.06,0.02,0.04,0.06,0.02,0.06,Matches,81442ecb
266,Jawad El Yamiq,DF,ma Morocco,30-289,1.es Valladolid,1992,5,2,244,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,f6f6b6e8
267,Jung Woo-young,MF,kr Korea Republic,33-001,1.qa Al Sadd SC,1989,4,4,303,3.4,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.01,0.04,0.05,0.01,0.05,Matches,858a34b8
268,Axel Witsel,MF,be Belgium,33-337,1.es Atlético Madrid,1989,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.02,0.02,0.01,0.02,Matches,5dfc6ad5
269,Silvan Widmer,DF,ch Switzerland,29-285,1.de Mainz 05,1993,3,3,265,2.9,0.00,0.34,0.00,0.00,0.00,0.34,0.00,0.00,0.34,0.34,0.00,0.34,0.00,0.00,0.28,0.31,0.01,0.29,0.30,0.01,0.30,Matches,f68b64fc
270,Dayot Upamecano,DF,fr France,24-049,1.de Bayern Munich,1998,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.01,0.02,0.01,0.02,Matches,d248cd8f
271,Alidu Seidu,DF,gh Ghana,22-194,1.fr Clermont Foot,2000,2,2,155,1.7,0.00,0.00,0.00,0.00,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,cea59f02
272,Alex Sandro,DF,br Brazil,31-323,1.it Juventus,1991,3,2,190,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.01,0.04,0.05,0.01,0.05,Matches,0d82903c
273,Youssouf Sabaly,DF,sn Senegal,29-285,1.es Betis,1993,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.01,0.16,0.18,0.01,0.18,Matches,fbbb9269
274,Rodri,DF,es Spain,26-176,1.eng Manchester City,1996,4,4,390,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.01,0.04,0.05,0.01,0.05,Matches,6434f10d
275,Aaron Ramsey,MF,wls Wales,31-354,1.fr Nice,1990,3,3,266,3.0,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.01,0.02,0.01,0.02,Matches,ef619b0b
276,Leandro Paredes,MF,ar Argentina,28-169,1.it Juventus,1994,4,2,206,2.3,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.02,0.03,0.01,0.03,Matches,dff153a4
